seqID,DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
PFCLINvar28,-233.0407620694567,0,-239.1431846525701,-213.17516362309553,-266.04158300778903,-254.10460131098185,-216.11982000347624,-261.87943716718826,-244.88011706588796,-233.53322822161053,-225.3647052777961,-261.6013651604577,-239.9638480429029,-238.7821051330981,-238.86826457999595,-251.24157558463037,-256.8195979347755,-271.32180118257327,-236.4106064225618,-232.05932941049767,-242.4584950408692,0,-230.62347709699674,-233.2810576838404,0,0,0,0,0,0,0,0,0
PFCLINvar29,-251.5729951509648,0,-254.54268172462355,-257.7473290741281,-277.3258460207682,-267.01031661523086,-251.47631222972967,-269.6188512720221,-268.1620266189252,-259.00198251764266,-251.32859901345938,-278.6787977305673,-259.183535579705,-265.78982272873407,-246.6291381575554,-271.96657850884884,-285.88149020854786,-293.47992061341955,-255.57912965215235,-251.88762777906626,-281.1958444961986,0,-250.98576626232196,-245.8565742064008,0,0,0,0,0,0,0,0,0
PFCLINvar30,-266.55963116309465,0,-261.07538369916864,-259.08338413488383,-285.355682932934,-281.3330112595149,-259.669322975838,-276.3167885475053,-281.04730768529214,-255.93965626530664,-261.1077382274445,-290.5957061920039,-274.162242519454,-271.94579233805337,-262.21360673419935,-287.3969872893586,-295.67971383059853,-294.86698780554707,-249.85530891283793,-260.1253269371318,-293.4587947448667,0,-266.2722856536766,-250.51654190909252,0,0,0,0,0,0,0,0,0
PFCLINvar31,-251.64181916951046,0,-251.13348707675772,-247.40597993163925,-280.41429740449047,-277.7751766212622,-248.25357073163954,-266.64216169051366,-266.29389092998036,-246.0362084504672,-248.6925645901801,-274.5115676166434,-260.23957459187136,-249.56795372828054,-245.01320732692815,-272.3103618992103,-280.92054589850676,-272.8609801165722,-247.68583131709923,-252.65351024130953,-265.86061618198477,0,-253.26006252943358,-244.76780818299585,0,0,0,0,0,0,0,0,0
PFCLINvar32,-255.00928359484755,0,-257.3468746960032,-249.1954718327736,-282.2645301281559,-273.84132279339053,-251.78650632729105,-263.26049865818663,-255.43911205301228,-242.49396001385213,-254.72289035761926,-273.5708182251838,-260.65294089661415,-263.3983408491437,-257.2044276465283,-268.97876880152245,-269.6851869888235,-255.4159662243382,-251.37741255608495,-256.01030497108746,-255.22639818547032,0,-244.58960597969133,-243.93640669733347,0,0,0,0,0,0,0,0,0
PFCLINvar33,-250.28372600576813,0,-250.09020141910545,-237.78592810687186,-275.2293097420073,-268.6352353857502,-247.06982437333815,-266.8285835026112,-251.08978896316393,-224.47205987396578,-248.59469817861242,-272.54522337917103,-254.71637996701577,-245.4270870384843,-248.47898076704976,-257.9390596398762,-268.8442727527951,-252.1464213258467,-235.80702229706,-246.47574039179096,-246.12802825226518,0,-230.826676649191,-229.42107040153505,0,0,0,0,0,0,0,0,0
PFCLINvar34,-264.9250998439587,0,-261.43499197564836,-268.8647958266873,-279.857239415644,-281.5387173200184,-266.2304697836782,-280.6622896738319,-262.996746359769,-260.5255629509564,-264.54607427091014,-284.7550587059952,-265.3535586777498,-263.5824134765413,-261.14818276949734,-282.4775123765226,-280.5451186508781,-279.9928766106641,-266.2425374418259,-263.9578466075582,-269.6797906803698,0,-258.20899385239073,-259.4323940423796,0,0,0,0,0,0,0,0,0
PFCLINvar36,-243.93696154562332,0,-248.29018740602962,-235.64399324740705,-268.1967747826729,-259.9604058451284,-243.54098836038835,-260.47387736875527,-243.7286551043318,-226.1171879232846,-248.81883291110842,-273.21484755297814,-247.72808026060397,-238.9405705900713,-246.63103126232554,-261.6074053136791,-261.9405114012011,-234.513711198497,-223.6683435134081,-247.01030203514333,-248.50456903975743,0,-229.33698639467653,-219.18711523896803,0,0,0,0,0,0,0,0,0
PFCLINvar37,-251.91209415626622,0,-249.93881993900047,-290.22856953190194,-276.204965327566,-273.4080168996428,-260.55720614349224,-268.0017576024829,-245.65109924242674,-290.8020717820164,-267.36126591535907,-289.8003630029163,-261.31327753754726,-306.92872111455966,-272.2739999968408,-308.0317145810673,-270.78676487861696,-322.0888172628741,-294.679630968325,-262.1505637270196,-305.39769677722177,0,-275.6285773055594,-274.6217312237648,0,0,0,0,0,0,0,0,0
PFCLINvar39,-270.68744482906123,0,-245.89669725815682,-297.4243877630133,-293.10233719161016,-293.6342147089792,-275.4013519675564,-290.7227473306098,-291.07290966917117,-295.3383965812715,-261.06523940228294,-291.04004354855664,-287.62311099221915,-311.6074412176584,-262.3041417998808,-320.87819090033656,-302.39255592424865,-324.30265240885154,-296.1586617171943,-261.1522769321949,-307.95025595660115,0,-293.79764368173886,-286.7424675371231,0,0,0,0,0,0,0,0,0
PFCLINvar40,-250.3348557496657,0,-237.3815349561398,-242.8886128182336,-270.3972515743275,-269.3327039023068,-242.06423982511257,-252.04187437506593,-259.7061026684234,-239.0435341938952,-234.25167251835325,-273.08919499704234,-258.0361933623852,-255.81533500419596,-234.80207166312212,-273.7995808853713,-279.5885519377056,-286.7140515874451,-243.22576318976778,-237.91212680158154,-253.29623357673907,0,-242.60510719195057,-234.42442730165592,0,0,0,0,0,0,0,0,0
PFCLINvar41,-255.50201365393863,0,-262.21774418496886,-297.6468311786819,-285.20905600225933,-287.243667341334,-273.2731598636224,-287.76590969782035,-236.60538544814136,-290.3387002441273,-268.4159227546914,-292.11799472162505,-264.4876073586979,-310.89873411649756,-266.4877427660121,-317.6382736989003,-283.1814442127947,-329.1020816397545,-299.06232567727864,-264.18090460136915,-308.78232230270953,0,-282.5009453672196,-279.908379768136,0,0,0,0,0,0,0,0,0
PFCLINvar44,-229.94682769200787,0,-238.68469886922242,-255.75134494976425,-254.19144115777723,-256.49925176241067,-234.930119003077,-245.82791080554617,-245.45195170432405,-242.48675964180867,-231.02148038861793,-218.58495110441837,-227.65982222801344,-260.6422869653551,-230.53374394195296,-220.90554011032415,-219.44923429201597,-241.9385216965818,-242.5897115540471,-234.9385120044001,-256.9408865772561,0,-243.82662195177488,-242.98725622536205,0,0,0,0,0,0,0,0,0
PFCLINvar46,-265.52569445813424,0,-288.304999760534,-324.38504203813534,-316.4444122500865,-291.7715777400683,-289.9854676474909,-265.9323531731088,-286.5036188588427,-316.84696314338464,-300.8927360522728,-291.5865223664283,-275.4172177077641,-335.25981326766623,-300.9593610433657,-338.43770796522284,-304.6956672005574,-345.4458984429724,-316.94281572915503,-286.59070469085196,-333.4290057378991,0,-308.1909178890647,-312.93742086919923,0,0,0,0,0,0,0,0,0
PFCLINvar47,-232.06533976867547,0,-243.8068329075564,-269.1808041860147,-258.56090101616206,-251.51847799392084,-239.0163065955404,-260.19690504430565,-233.4382186707955,-253.38992911951036,-254.06343295037064,-260.33689068567804,-235.90787819063257,-270.50668010807846,-239.06068169228035,-268.8891623782133,-253.2655440431491,-291.2450837972334,-249.67199927093552,-246.1817153137713,-268.40203400858314,0,-249.02161856666768,-252.70878075636227,0,0,0,0,0,0,0,0,0
